states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:61:a:x
1:     0:79:b:x
2:     0:6:c:y
3:     0:56:A:x
4:     0:87:B:x
5:     0:29:C:x
6:     1:53:a:y
7:     1:15:b:y
8:     1:52:c:x
9:     1:99:A:y
10:    1:73:B:y
11:    1:44:C:y
12:    2:80:a:x
13:    2:36:b:x
14:    2:84:c:x
15:    2:68:A:x
16:    2:96:B:y
17:    2:78:C:y
18:    3:64:a:x
19:    3:96:b:x
20:    3:13:c:y
21:    3:8:A:x
22:    3:40:B:x
23:    3:9:C:x
24:    4:23:a:y
25:    4:9:b:y
26:    4:23:c:y
27:    4:3:A:y
28:    4:14:B:x
29:    4:77:C:y
30:    5:83:a:x
31:    5:8:b:x
32:    5:92:c:y
33:    5:82:A:x
34:    5:53:B:y
35:    5:53:C:y
36:    6:91:a:y
37:    6:47:b:y
38:    6:63:c:x
39:    6:21:A:y
40:    6:1:B:x
41:    6:83:C:x
42:    7:91:a:y
43:    7:61:b:y
44:    7:84:c:y
45:    7:67:A:y
46:    7:97:B:y
47:    7:12:C:y
48:    8:34:a:x
49:    8:35:b:y
50:    8:25:c:y
51:    8:20:A:x
52:    8:52:B:x
53:    8:22:C:y
54:    9:98:a:y
55:    9:42:b:y
56:    9:97:c:x
57:    9:73:A:x
58:    9:13:B:x
59:    9:27:C:x
60:    10:71:a:x
61:    10:71:b:x
62:    10:36:c:x
63:    10:78:A:x
64:    10:4:B:y
65:    10:66:C:x
66:    11:63:a:y
67:    11:57:b:y
68:    11:37:c:y
69:    11:53:A:y
70:    11:65:B:x
71:    11:53:C:y
72:    12:21:a:x
73:    12:9:b:x
74:    12:52:c:x
75:    12:0:A:x
76:    12:98:B:y
77:    12:85:C:x
78:    13:53:a:y
79:    13:9:b:x
80:    13:70:c:x
81:    13:95:A:y
82:    13:92:B:y
83:    13:92:C:x
84:    14:66:a:x
85:    14:28:b:x
86:    14:67:c:x
87:    14:30:A:x
88:    14:49:B:y
89:    14:47:C:x
90:    15:26:a:y
91:    15:71:b:y
92:    15:31:c:x
93:    15:5:A:x
94:    15:86:B:x
95:    15:6:C:y
96:    16:94:a:y
97:    16:27:b:y
98:    16:71:c:y
99:    16:51:A:y
100:   16:29:B:y
101:   16:8:C:x
102:   17:94:a:x
103:   17:42:b:x
104:   17:78:c:x
105:   17:69:A:y
106:   17:24:B:y
107:   17:68:C:y
108:   18:2:a:x
109:   18:30:b:y
110:   18:25:c:x
111:   18:65:A:x
112:   18:65:B:x
113:   18:15:C:y
114:   19:77:a:y
115:   19:57:b:y
116:   19:52:c:y
117:   19:87:A:x
118:   19:57:B:x
119:   19:17:C:x
120:   20:85:a:x
121:   20:34:b:x
122:   20:1:c:x
123:   20:45:A:x
124:   20:2:B:y
125:   20:15:C:x
126:   21:35:a:x
127:   21:31:b:x
128:   21:3:c:y
129:   21:17:A:y
130:   21:67:B:y
131:   21:10:C:x
132:   22:8:a:x
133:   22:51:b:y
134:   22:80:c:x
135:   22:2:A:y
136:   22:89:B:y
137:   22:17:C:y
138:   23:67:a:y
139:   23:6:b:x
140:   23:79:c:x
141:   23:15:A:y
142:   23:52:B:x
143:   23:91:C:y
144:   24:63:a:y
145:   24:43:b:y
146:   24:92:c:x
147:   24:4:A:x
148:   24:80:B:x
149:   24:76:C:x
150:   25:62:a:x
151:   25:36:b:y
152:   25:6:c:y
153:   25:57:A:y
154:   25:42:B:y
155:   25:45:C:x
156:   26:52:a:y
157:   26:1:b:y
158:   26:34:c:y
159:   26:31:A:x
160:   26:18:B:y
161:   26:89:C:x
162:   27:77:a:x
163:   27:63:b:x
164:   27:14:c:x
165:   27:48:A:y
166:   27:0:B:y
167:   27:85:C:y
168:   28:15:a:y
169:   28:81:b:x
170:   28:48:c:x
171:   28:83:A:y
172:   28:43:B:x
173:   28:57:C:y
174:   29:62:a:y
175:   29:33:b:x
176:   29:7:c:x
177:   29:15:A:x
178:   29:72:B:x
179:   29:42:C:x
180:   30:18:a:y
181:   30:25:b:x
182:   30:47:c:y
183:   30:60:A:x
184:   30:55:B:y
185:   30:56:C:y
186:   31:21:a:x
187:   31:11:b:y
188:   31:30:c:x
189:   31:14:A:y
190:   31:23:B:y
191:   31:50:C:y
192:   32:17:a:y
193:   32:8:b:x
194:   32:34:c:y
195:   32:59:A:y
196:   32:81:B:y
197:   32:44:C:x
198:   33:44:a:y
199:   33:56:b:x
200:   33:44:c:y
201:   33:97:A:y
202:   33:43:B:x
203:   33:35:C:x
204:   34:9:a:y
205:   34:83:b:x
206:   34:83:c:y
207:   34:67:A:y
208:   34:99:B:y
209:   34:72:C:x
210:   35:66:a:x
211:   35:54:b:y
212:   35:49:c:x
213:   35:82:A:x
214:   35:36:B:y
215:   35:99:C:y
216:   36:50:a:y
217:   36:9:b:y
218:   36:92:c:y
219:   36:43:A:x
220:   36:1:B:y
221:   36:28:C:x
222:   37:8:a:y
223:   37:84:b:x
224:   37:31:c:y
225:   37:29:A:x
226:   37:30:B:y
227:   37:47:C:y
228:   38:0:a:x
229:   38:32:b:x
230:   38:87:c:y
231:   38:2:A:x
232:   38:46:B:y
233:   38:75:C:y
234:   39:78:a:x
235:   39:25:b:y
236:   39:24:c:y
237:   39:72:A:x
238:   39:38:B:y
239:   39:49:C:x
240:   40:0:a:x
241:   40:37:b:x
242:   40:75:c:x
243:   40:98:A:y
244:   40:67:B:x
245:   40:0:C:x
246:   41:36:a:y
247:   41:65:b:x
248:   41:74:c:y
249:   41:94:A:y
250:   41:75:B:x
251:   41:97:C:x
252:   42:66:a:x
253:   42:6:b:y
254:   42:81:c:y
255:   42:1:A:x
256:   42:79:B:y
257:   42:7:C:y
258:   43:4:a:x
259:   43:23:b:y
260:   43:40:c:y
261:   43:26:A:x
262:   43:91:B:x
263:   43:55:C:x
264:   44:38:a:x
265:   44:41:b:x
266:   44:28:c:y
267:   44:98:A:x
268:   44:11:B:y
269:   44:81:C:y
270:   45:80:a:y
271:   45:26:b:x
272:   45:1:c:x
273:   45:20:A:x
274:   45:50:B:y
275:   45:98:C:x
276:   46:91:a:x
277:   46:12:b:x
278:   46:76:c:y
279:   46:80:A:y
280:   46:72:B:y
281:   46:74:C:x
282:   47:22:a:x
283:   47:24:b:x
284:   47:45:c:x
285:   47:13:A:x
286:   47:93:B:x
287:   47:40:C:y
288:   48:55:a:y
289:   48:22:b:x
290:   48:77:c:y
291:   48:58:A:x
292:   48:61:B:y
293:   48:23:C:x
294:   49:89:a:x
295:   49:37:b:y
296:   49:47:c:y
297:   49:85:A:x
298:   49:29:B:x
299:   49:41:C:y
300:   50:80:a:y
301:   50:71:b:y
302:   50:84:c:x
303:   50:6:A:y
304:   50:43:B:x
305:   50:48:C:y
306:   51:65:a:x
307:   51:63:b:x
308:   51:86:c:x
309:   51:40:A:x
310:   51:98:B:y
311:   51:84:C:x
312:   52:41:a:y
313:   52:36:b:y
314:   52:99:c:x
315:   52:40:A:x
316:   52:32:B:y
317:   52:95:C:x
318:   53:32:a:x
319:   53:16:b:y
320:   53:62:c:y
321:   53:73:A:x
322:   53:76:B:y
323:   53:2:C:y
324:   54:78:a:y
325:   54:77:b:y
326:   54:23:c:x
327:   54:96:A:y
328:   54:90:B:x
329:   54:45:C:x
330:   55:3:a:x
331:   55:68:b:y
332:   55:77:c:x
333:   55:0:A:y
334:   55:26:B:x
335:   55:84:C:x
336:   56:71:a:y
337:   56:68:b:x
338:   56:45:c:y
339:   56:33:A:y
340:   56:43:B:x
341:   56:14:C:y
342:   57:79:a:x
343:   57:10:b:y
344:   57:2:c:x
345:   57:19:A:x
346:   57:27:B:y
347:   57:76:C:x
348:   58:21:a:x
349:   58:85:b:x
350:   58:20:c:y
351:   58:63:A:y
352:   58:88:B:x
353:   58:38:C:x
354:   59:21:a:y
355:   59:96:b:x
356:   59:29:c:y
357:   59:57:A:y
358:   59:68:B:x
359:   59:92:C:y
360:   60:79:a:x
361:   60:3:b:x
362:   60:60:c:x
363:   60:38:A:x
364:   60:73:B:y
365:   60:62:C:y
366:   61:62:a:y
367:   61:72:b:y
368:   61:95:c:y
369:   61:10:A:x
370:   61:79:B:y
371:   61:33:C:x
372:   62:91:a:y
373:   62:68:b:x
374:   62:95:c:x
375:   62:60:A:y
376:   62:35:B:y
377:   62:87:C:y
378:   63:34:a:x
379:   63:39:b:x
380:   63:88:c:x
381:   63:33:A:y
382:   63:22:B:y
383:   63:10:C:y
384:   64:66:a:y
385:   64:64:b:x
386:   64:16:c:x
387:   64:34:A:x
388:   64:32:B:y
389:   64:35:C:y
390:   65:73:a:y
391:   65:89:b:x
392:   65:20:c:x
393:   65:62:A:x
394:   65:40:B:x
395:   65:59:C:y
396:   66:21:a:y
