states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:9:a:y
1:     0:2:b:x
2:     0:86:c:x
3:     0:91:A:y
4:     0:72:B:x
5:     0:93:C:y
6:     1:23:a:x
7:     1:32:b:y
8:     1:41:c:x
9:     1:48:A:x
10:    1:97:B:x
11:    1:92:C:x
12:    2:7:a:x
13:    2:79:b:x
14:    2:62:c:y
15:    2:1:A:x
16:    2:3:B:y
17:    2:80:C:y
18:    3:26:a:x
19:    3:19:b:y
20:    3:95:c:x
21:    3:9:A:x
22:    3:45:B:x
23:    3:51:C:x
24:    4:54:a:y
25:    4:66:b:x
26:    4:30:c:x
27:    4:42:A:x
28:    4:36:B:y
29:    4:87:C:x
30:    5:55:a:y
31:    5:92:b:y
32:    5:76:c:x
33:    5:38:A:y
34:    5:40:B:x
35:    5:36:C:y
36:    6:13:a:x
37:    6:40:b:y
38:    6:40:c:x
39:    6:34:A:y
40:    6:38:B:y
41:    6:90:C:y
42:    7:8:a:x
43:    7:61:b:y
44:    7:59:c:x
45:    7:94:A:x
46:    7:47:B:y
47:    7:88:C:x
48:    8:17:a:x
49:    8:72:b:x
50:    8:92:c:y
51:    8:24:A:y
52:    8:76:B:y
53:    8:19:C:x
54:    9:32:a:x
55:    9:56:b:x
56:    9:73:c:y
57:    9:56:A:y
58:    9:69:B:y
59:    9:12:C:y
60:    10:32:a:x
61:    10:68:b:y
62:    10:98:c:x
63:    10:35:A:y
64:    10:85:B:x
65:    10:59:C:x
66:    11:83:a:x
67:    11:99:b:y
68:    11:31:c:x
69:    11:23:A:y
70:    11:44:B:x
71:    11:75:C:x
72:    12:75:a:x
73:    12:66:b:y
74:    12:39:c:y
75:    12:23:A:y
76:    12:66:B:x
77:    12:11:C:x
78:    13:2:a:y
79:    13:4:b:y
80:    13:93:c:x
81:    13:25:A:x
82:    13:54:B:x
83:    13:18:C:y
84:    14:2:a:x
85:    14:45:b:x
86:    14:44:c:y
87:    14:1:A:y
88:    14:52:B:y
89:    14:89:C:y
90:    15:83:a:x
91:    15:52:b:y
92:    15:5:c:y
93:    15:4:A:x
94:    15:74:B:x
95:    15:81:C:x
96:    16:78:a:x
97:    16:45:b:y
98:    16:56:c:x
99:    16:88:A:x
100:   16:89:B:y
101:   16:60:C:x
102:   17:60:a:x
103:   17:97:b:y
104:   17:21:c:y
105:   17:84:A:x
106:   17:62:B:x
107:   17:4:C:y
108:   18:9:a:x
109:   18:6:b:x
110:   18:17:c:x
111:   18:94:A:x
112:   18:38:B:x
113:   18:9:C:y
114:   19:34:a:y
115:   19:73:b:y
116:   19:85:c:y
117:   19:92:A:y
118:   19:56:B:y
119:   19:91:C:x
120:   20:30:a:x
121:   20:41:b:x
122:   20:55:c:x
123:   20:39:A:x
124:   20:8:B:x
125:   20:93:C:x
126:   21:32:a:x
127:   21:62:b:y
128:   21:23:c:x
129:   21:94:A:x
130:   21:53:B:y
131:   21:24:C:y
132:   22:49:a:x
133:   22:1:b:y
134:   22:77:c:x
135:   22:93:A:x
136:   22:54:B:y
137:   22:96:C:x
138:   23:42:a:x
139:   23:10:b:y
140:   23:74:c:y
141:   23:88:A:x
142:   23:39:B:x
143:   23:73:C:x
144:   24:79:a:x
145:   24:83:b:y
146:   24:3:c:y
147:   24:26:A:x
148:   24:47:B:y
149:   24:36:C:x
150:   25:44:a:y
151:   25:1:b:y
152:   25:17:c:x
153:   25:18:A:y
154:   25:33:B:y
155:   25:78:C:x
156:   26:4:a:y
157:   26:62:b:y
158:   26:83:c:x
159:   26:83:A:x
160:   26:61:B:y
161:   26:77:C:x
162:   27:84:a:y
163:   27:50:b:y
164:   27:90:c:y
165:   27:99:A:x
166:   27:29:B:y
167:   27:34:C:x
168:   28:57:a:x
169:   28:2:b:y
170:   28:50:c:y
171:   28:58:A:y
172:   28:69:B:x
173:   28:60:C:y
174:   29:52:a:x
175:   29:49:b:y
176:   29:80:c:x
177:   29:21:A:x
178:   29:6:B:y
179:   29:82:C:y
180:   30:4:a:x
181:   30:91:b:y
182:   30:79:c:y
183:   30:17:A:x
184:   30:5:B:x
185:   30:52:C:x
186:   31:91:a:x
187:   31:15:b:y
188:   31:39:c:y
189:   31:81:A:x
190:   31:32:B:x
191:   31:91:C:y
192:   32:45:a:x
193:   32:35:b:x
194:   32:38:c:x
195:   32:9:A:x
196:   32:45:B:y
197:   32:66:C:x
198:   33:87:a:y
199:   33:27:b:x
200:   33:15:c:y
