states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:34:a:y
1:     0:84:b:x
2:     0:68:c:y
3:     0:47:A:x
4:     0:28:B:y
5:     0:15:C:x
6:     1:38:a:x
7:     1:21:b:x
8:     1:85:c:y
9:     1:29:A:y
10:    1:21:B:y
11:    1:13:C:y
12:    2:0:a:y
13:    2:90:b:y
14:    2:17:c:x
15:    2:6:A:y
16:    2:69:B:y
17:    2:61:C:y
18:    3:71:a:x
19:    3:45:b:y
20:    3:74:c:x
21:    3:45:A:x
22:    3:70:B:x
23:    3:87:C:y
24:    4:32:a:y
25:    4:28:b:x
26:    4:84:c:x
27:    4:59:A:x
28:    4:33:B:y
29:    4:81:C:x
30:    5:28:a:y
31:    5:19:b:x
32:    5:16:c:x
33:    5:39:A:y
34:    5:58:B:y
35:    5:5:C:x
36:    6:11:a:y
37:    6:30:b:y
38:    6:88:c:y
39:    6:93:A:x
40:    6:22:B:x
41:    6:32:C:x
42:    7:30:a:x
43:    7:36:b:y
44:    7:10:c:x
45:    7:39:A:x
46:    7:41:B:x
47:    7:54:C:y
48:    8:52:a:y
49:    8:78:b:x
50:    8:82:c:y
51:    8:18:A:y
52:    8:76:B:y
53:    8:68:C:x
54:    9:53:a:x
55:    9:12:b:y
56:    9:65:c:y
57:    9:33:A:x
58:    9:52:B:y
59:    9:38:C:y
60:    10:59:a:x
61:    10:44:b:y
62:    10:2:c:x
63:    10:7:A:y
64:    10:17:B:y
65:    10:67:C:x
66:    11:90:a:y
67:    11:87:b:y
68:    11:80:c:x
69:    11:55:A:x
70:    11:87:B:y
71:    11:72:C:y
72:    12:87:a:y
73:    12:73:b:x
74:    12:86:c:y
75:    12:93:A:y
76:    12:19:B:y
77:    12:56:C:x
78:    13:92:a:x
79:    13:50:b:x
80:    13:54:c:x
81:    13:10:A:x
82:    13:45:B:y
83:    13:17:C:x
84:    14:57:a:y
85:    14:53:b:y
86:    14:96:c:y
87:    14:3:A:y
88:    14:3:B:x
89:    14:7:C:y
90:    15:31:a:x
91:    15:83:b:x
92:    15:83:c:y
93:    15:59:A:x
94:    15:20:B:x
95:    15:75:C:y
96:    16:44:a:y
97:    16:17:b:y
98:    16:11:c:x
99:    16:73:A:x
100:   16:50:B:x
101:   16:13:C:x
102:   17:5:a:x
103:   17:15:b:x
104:   17:21:c:x
105:   17:87:A:x
106:   17:1:B:y
107:   17:47:C:x
108:   18:36:a:y
109:   18:29:b:x
110:   18:30:c:y
111:   18:57:A:x
112:   18:39:B:x
113:   18:98:C:x
114:   19:93:a:x
115:   19:75:b:y
116:   19:80:c:x
117:   19:4:A:x
118:   19:0:B:y
119:   19:24:C:x
120:   20:20:a:y
121:   20:36:b:x
122:   20:56:c:y
123:   20:82:A:x
124:   20:53:B:y
125:   20:7:C:y
126:   21:93:a:x
127:   21:46:b:y
128:   21:43:c:x
129:   21:49:A:y
130:   21:21:B:y
131:   21:31:C:y
132:   22:73:a:y
133:   22:33:b:y
134:   22:38:c:x
135:   22:19:A:y
136:   22:37:B:x
137:   22:29:C:x
138:   23:87:a:y
139:   23:51:b:y
140:   23:19:c:y
141:   23:72:A:x
142:   23:90:B:x
143:   23:96:C:y
144:   24:66:a:y
145:   24:66:b:x
146:   24:27:c:x
