states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:12:a:x
1:     0:7:b:y
2:     0:30:c:x
3:     0:75:A:x
4:     0:78:B:x
5:     0:53:C:y
6:     1:86:a:x
7:     1:38:b:x
8:     1:46:c:x
9:     1:38:A:y
10:    1:36:B:x
11:    1:81:C:x
12:    2:49:a:y
13:    2:23:b:x
14:    2:44:c:y
15:    2:99:A:x
16:    2:9:B:y
17:    2:24:C:x
18:    3:66:a:x
19:    3:64:b:x
20:    3:69:c:x
21:    3:76:A:x
22:    3:15:B:y
23:    3:15:C:y
24:    4:45:a:y
25:    4:46:b:y
26:    4:15:c:x
27:    4:33:A:y
28:    4:25:B:x
29:    4:19:C:x
30:    5:77:a:y
31:    5:62:b:y
32:    5:38:c:x
33:    5:2:A:x
34:    5:16:B:x
35:    5:45:C:y
36:    6:37:a:x
37:    6:99:b:x
38:    6:61:c:x
39:    6:59:A:x
40:    6:45:B:x
41:    6:26:C:x
42:    7:8:a:y
43:    7:3:b:y
44:    7:77:c:y
45:    7:64:A:y
46:    7:85:B:y
47:    7:48:C:y
48:    8:84:a:x
49:    8:83:b:x
50:    8:26:c:y
51:    8:54:A:y
52:    8:86:B:y
53:    8:7:C:y
54:    9:23:a:y
55:    9:24:b:y
56:    9:50:c:y
57:    9:44:A:x
58:    9:68:B:x
59:    9:97:C:y
60:    10:21:a:x
61:    10:16:b:y
62:    10:43:c:x
63:    10:29:A:x
64:    10:89:B:x
65:    10:98:C:y
66:    11:5:a:x
67:    11:31:b:x
68:    11:54:c:y
69:    11:60:A:y
70:    11:66:B:y
71:    11:27:C:x
72:    12:54:a:y
73:    12:61:b:x
74:    12:11:c:y
75:    12:7:A:x
76:    12:99:B:y
77:    12:40:C:x
78:    13:0:a:x
79:    13:60:b:x
80:    13:53:c:x
81:    13:59:A:y
82:    13:21:B:y
83:    13:91:C:y
84:    14:18:a:x
85:    14:63:b:y
86:    14:4:c:x
87:    14:3:A:x
88:    14:37:B:y
89:    14:58:C:y
90:    15:74:a:y
91:    15:13:b:x
92:    15:36:c:x
93:    15:64:A:x
94:    15:41:B:x
95:    15:49:C:x
96:    16:3:a:y
