states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:80:a:y
1:     0:18:b:x
2:     0:30:c:y
3:     0:9:A:y
4:     0:49:B:y
5:     0:14:C:y
6:     1:64:a:y
7:     1:41:b:y
8:     1:97:c:y
9:     1:18:A:y
10:    1:96:B:y
11:    1:18:C:y
12:    2:45:a:y
13:    2:81:b:x
14:    2:96:c:x
15:    2:15:A:y
16:    2:43:B:y
17:    2:94:C:y
18:    3:56:a:x
19:    3:8:b:x
20:    3:63:c:y
21:    3:20:A:y
22:    3:30:B:y
23:    3:13:C:y
24:    4:42:a:x
25:    4:15:b:x
26:    4:52:c:y
27:    4:52:A:y
28:    4:27:B:y
29:    4:22:C:y
30:    5:32:a:y
31:    5:60:b:x
32:    5:69:c:x
33:    5:45:A:x
34:    5:54:B:x
35:    5:71:C:x
36:    6:20:a:x
37:    6:53:b:x
38:    6:89:c:x
39:    6:77:A:y
40:    6:56:B:y
41:    6:94:C:x
42:    7:70:a:x
43:    7:73:b:x
44:    7:5:c:x
45:    7:39:A:x
46:    7:11:B:x
47:    7:33:C:y
48:    8:59:a:x
49:    8:83:b:y
50:    8:66:c:y
51:    8:11:A:y
52:    8:34:B:y
53:    8:13:C:y
54:    9:64:a:x
55:    9:5:b:y
56:    9:30:c:y
57:    9:31:A:y
58:    9:21:B:y
59:    9:74:C:x
60:    10:52:a:y
61:    10:98:b:x
62:    10:37:c:y
63:    10:14:A:y
64:    10:47:B:y
65:    10:79:C:x
66:    11:59:a:x
67:    11:61:b:y
68:    11:98:c:y
69:    11:35:A:x
70:    11:5:B:x
71:    11:32:C:y
72:    12:61:a:x
73:    12:33:b:x
74:    12:59:c:y
75:    12:7:A:x
76:    12:40:B:y
77:    12:80:C:x
78:    13:7:a:y
79:    13:26:b:x
80:    13:94:c:x
81:    13:70:A:y
82:    13:57:B:y
83:    13:26:C:x
84:    14:98:a:x
85:    14:42:b:x
86:    14:46:c:y
87:    14:58:A:x
88:    14:45:B:x
89:    14:23:C:y
90:    15:64:a:x
91:    15:38:b:y
92:    15:6:c:y
93:    15:49:A:y
94:    15:12:B:x
95:    15:79:C:x
96:    16:69:a:x
97:    16:42:b:x
98:    16:50:c:y
99:    16:40:A:x
100:   16:40:B:y
101:   16:92:C:x
102:   17:29:a:y
103:   17:55:b:x
104:   17:26:c:x
105:   17:66:A:y
106:   17:21:B:y
107:   17:51:C:x
108:   18:37:a:y
109:   18:47:b:x
110:   18:81:c:y
111:   18:82:A:x
112:   18:32:B:y
113:   18:54:C:y
114:   19:57:a:x
115:   19:62:b:x
116:   19:50:c:x
117:   19:11:A:y
118:   19:55:B:y
119:   19:81:C:x
120:   20:74:a:x
121:   20:15:b:y
122:   20:24:c:y
123:   20:90:A:y
124:   20:93:B:x
125:   20:78:C:x
126:   21:73:a:x
127:   21:51:b:x
128:   21:65:c:y
129:   21:38:A:x
130:   21:8:B:y
131:   21:68:C:y
132:   22:19:a:y
133:   22:67:b:y
134:   22:39:c:y
135:   22:53:A:y
136:   22:93:B:x
137:   22:39:C:y
138:   23:70:a:y
139:   23:60:b:x
140:   23:84:c:x
141:   23:50:A:y
142:   23:17:B:x
143:   23:33:C:x
144:   24:3:a:x
145:   24:90:b:y
146:   24:60:c:x
147:   24:99:A:y
148:   24:37:B:x
149:   24:82:C:x
150:   25:67:a:y
151:   25:29:b:x
152:   25:16:c:x
153:   25:61:A:x
154:   25:22:B:y
155:   25:9:C:x
156:   26:2:a:y
157:   26:54:b:y
158:   26:7:c:y
159:   26:73:A:x
160:   26:74:B:y
161:   26:43:C:x
162:   27:57:a:x
163:   27:88:b:x
164:   27:13:c:y
165:   27:24:A:y
166:   27:53:B:y
167:   27:29:C:y
168:   28:87:a:y
169:   28:16:b:y
170:   28:89:c:y
171:   28:82:A:x
172:   28:20:B:y
173:   28:14:C:y
174:   29:10:a:x
175:   29:12:b:y
176:   29:69:c:x
177:   29:46:A:x
178:   29:9:B:y
179:   29:10:C:x
180:   30:93:a:y
181:   30:44:b:y
182:   30:17:c:x
183:   30:43:A:y
184:   30:3:B:x
185:   30:75:C:y
186:   31:99:a:x
187:   31:38:b:x
188:   31:79:c:x
189:   31:23:A:y
190:   31:10:B:y
191:   31:88:C:x
192:   32:65:a:y
193:   32:87:b:x
194:   32:78:c:x
195:   32:95:A:y
196:   32:35:B:x
197:   32:68:C:y
198:   33:25:a:y
199:   33:91:b:x
200:   33:8:c:y
201:   33:96:A:y
202:   33:0:B:x
203:   33:17:C:y
204:   34:91:a:y
205:   34:99:b:y
206:   34:0:c:y
207:   34:46:A:y
208:   34:21:B:x
209:   34:97:C:x
210:   35:89:a:x
211:   35:34:b:x
212:   35:27:c:x
213:   35:92:A:y
214:   35:51:B:x
215:   35:77:C:y
216:   36:27:a:x
217:   36:6:b:x
218:   36:76:c:y
219:   36:34:A:y
220:   36:0:B:x
221:   36:19:C:y
222:   37:71:a:x
223:   37:77:b:x
224:   37:91:c:y
225:   37:31:A:x
226:   37:58:B:y
227:   37:97:C:y
228:   38:24:a:y
229:   38:71:b:x
230:   38:12:c:y
231:   38:48:A:x
232:   38:87:B:x
233:   38:1:C:x
234:   39:78:a:y
235:   39:63:b:y
236:   39:44:c:x
