states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:26:a:y
1:     0:64:b:x
2:     0:44:c:x
3:     0:70:A:x
4:     0:80:B:x
5:     0:26:C:x
6:     1:89:a:y
7:     1:81:b:x
8:     1:34:c:x
9:     1:47:A:x
10:    1:6:B:x
11:    1:39:C:x
12:    2:48:a:x
13:    2:95:b:y
14:    2:57:c:y
15:    2:12:A:y
16:    2:67:B:x
17:    2:95:C:x
18:    3:61:a:x
19:    3:70:b:y
20:    3:83:c:x
21:    3:87:A:y
22:    3:52:B:x
23:    3:85:C:x
24:    4:5:a:x
25:    4:83:b:x
26:    4:45:c:y
27:    4:46:A:x
28:    4:67:B:y
29:    4:65:C:x
30:    5:96:a:y
31:    5:89:b:y
32:    5:50:c:y
33:    5:49:A:x
34:    5:58:B:y
35:    5:51:C:y
36:    6:21:a:y
37:    6:71:b:y
38:    6:40:c:x
39:    6:70:A:y
40:    6:72:B:x
41:    6:29:C:x
42:    7:91:a:x
43:    7:38:b:y
44:    7:45:c:y
45:    7:93:A:y
46:    7:21:B:y
47:    7:53:C:y
48:    8:32:a:x
49:    8:15:b:x
50:    8:31:c:x
51:    8:68:A:x
52:    8:50:B:y
53:    8:45:C:y
54:    9:35:a:y
55:    9:27:b:x
56:    9:52:c:y
57:    9:98:A:y
58:    9:52:B:x
59:    9:94:C:y
60:    10:47:a:y
61:    10:46:b:x
62:    10:31:c:y
63:    10:5:A:x
64:    10:80:B:y
65:    10:59:C:x
66:    11:17:a:x
67:    11:38:b:x
68:    11:82:c:y
69:    11:38:A:x
70:    11:56:B:y
71:    11:51:C:x
72:    12:0:a:y
73:    12:47:b:y
74:    12:82:c:x
75:    12:79:A:x
76:    12:43:B:y
77:    12:39:C:x
78:    13:12:a:y
79:    13:28:b:y
80:    13:89:c:y
81:    13:99:A:y
82:    13:73:B:x
83:    13:6:C:y
84:    14:34:a:y
85:    14:18:b:x
86:    14:72:c:y
87:    14:11:A:y
88:    14:90:B:y
89:    14:55:C:y
90:    15:17:a:x
91:    15:61:b:y
92:    15:40:c:x
93:    15:86:A:y
94:    15:46:B:y
95:    15:25:C:x
96:    16:23:a:y
97:    16:61:b:y
98:    16:15:c:x
99:    16:5:A:x
100:   16:74:B:x
101:   16:0:C:x
102:   17:19:a:y
103:   17:24:b:x
104:   17:12:c:x
105:   17:96:A:x
106:   17:85:B:x
107:   17:6:C:y
108:   18:95:a:x
109:   18:17:b:y
110:   18:50:c:x
111:   18:0:A:x
112:   18:26:B:y
113:   18:55:C:x
114:   19:62:a:y
115:   19:68:b:x
116:   19:58:c:x
117:   19:37:A:x
118:   19:40:B:x
119:   19:2:C:x
120:   20:69:a:y
121:   20:78:b:x
122:   20:16:c:x
123:   20:35:A:y
124:   20:92:B:x
125:   20:35:C:y
126:   21:24:a:y
127:   21:97:b:y
128:   21:37:c:x
129:   21:88:A:x
130:   21:90:B:x
131:   21:16:C:x
132:   22:98:a:x
133:   22:88:b:x
134:   22:81:c:y
135:   22:37:A:x
136:   22:90:B:y
137:   22:87:C:y
138:   23:75:a:x
139:   23:28:b:y
140:   23:25:c:x
141:   23:81:A:x
142:   23:63:B:x
143:   23:10:C:y
144:   24:4:a:y
145:   24:48:b:y
146:   24:31:c:x
147:   24:77:A:x
148:   24:13:B:x
149:   24:62:C:y
150:   25:49:a:y
151:   25:16:b:x
152:   25:87:c:y
153:   25:75:A:x
154:   25:32:B:y
155:   25:91:C:y
156:   26:82:a:y
157:   26:28:b:x
158:   26:83:c:y
159:   26:77:A:x
160:   26:92:B:x
161:   26:98:C:y
162:   27:7:a:x
163:   27:91:b:y
164:   27:68:c:x
165:   27:11:A:y
166:   27:8:B:y
167:   27:80:C:y
168:   28:22:a:x
169:   28:77:b:y
170:   28:55:c:y
171:   28:3:A:y
172:   28:54:B:y
173:   28:79:C:x
174:   29:18:a:y
175:   29:78:b:x
176:   29:84:c:x
177:   29:76:A:x
178:   29:19:B:x
179:   29:13:C:x
180:   30:69:a:x
181:   30:67:b:y
182:   30:33:c:y
183:   30:79:A:x
184:   30:69:B:x
185:   30:65:C:y
186:   31:15:a:x
187:   31:51:b:x
188:   31:42:c:x
189:   31:64:A:x
190:   31:48:B:y
191:   31:49:C:y
192:   32:97:a:x
193:   32:62:b:y
194:   32:73:c:y
195:   32:57:A:y
196:   32:8:B:x
197:   32:88:C:x
198:   33:18:a:y
199:   33:97:b:y
200:   33:14:c:y
201:   33:93:A:y
202:   33:64:B:x
203:   33:14:C:x
204:   34:75:a:x
205:   34:94:b:y
206:   34:2:c:y
207:   34:94:A:y
208:   34:85:B:x
209:   34:33:C:x
210:   35:7:a:x
211:   35:41:b:x
212:   35:10:c:x
213:   35:4:A:x
214:   35:58:B:x
215:   35:22:C:x
216:   36:29:a:x
217:   36:59:b:y
218:   36:42:c:x
219:   36:86:A:y
220:   36:13:B:x
221:   36:3:C:y
222:   37:32:a:y
223:   37:60:b:x
224:   37:11:c:x
225:   37:73:A:y
226:   37:9:B:x
227:   37:84:C:y
228:   38:23:a:x
229:   38:1:b:y
230:   38:56:c:y
231:   38:41:A:x
232:   38:33:B:x
233:   38:7:C:y
234:   39:65:a:x
235:   39:60:b:x
236:   39:76:c:y
237:   39:36:A:y
238:   39:27:B:y
239:   39:2:C:y
240:   40:78:a:y
241:   40:84:b:x
242:   40:21:c:x
243:   40:30:A:x
244:   40:56:B:x
245:   40:36:C:y
246:   41:54:a:y
247:   41:99:b:y
248:   41:1:c:x
249:   41:4:A:y
250:   41:54:B:x
251:   41:86:C:y
252:   42:14:a:x
253:   42:72:b:y
254:   42:76:c:x
255:   42:25:A:x
256:   42:92:B:x
257:   42:71:C:x
258:   43:60:a:x
259:   43:42:b:y
260:   43:19:c:y
261:   43:8:A:y
262:   43:27:B:x
263:   43:41:C:y
264:   44:1:a:y
265:   44:10:b:y
266:   44:22:c:y
267:   44:71:A:y
268:   44:39:B:y
269:   44:74:C:x
270:   45:93:a:x
271:   45:59:b:x
272:   45:20:c:x
273:   45:43:A:y
274:   45:99:B:x
275:   45:23:C:x
276:   46:57:a:x
277:   46:53:b:x
278:   46:34:c:x
279:   46:63:A:y
280:   46:24:B:x
281:   46:9:C:y
282:   47:43:a:x
283:   47:30:b:x
284:   47:96:c:y
285:   47:63:A:x
286:   47:44:B:y
287:   47:36:C:y
288:   48:44:a:x
289:   48:3:b:y
290:   48:20:c:y
291:   48:9:A:y
292:   48:53:B:x
293:   48:66:C:x
294:   49:66:a:x
295:   49:20:b:y
296:   49:30:c:x
297:   49:29:A:y
298:   49:66:B:y
299:   49:74:C:x
300:   50:36:a:y
301:   50:68:b:y
302:   50:54:c:x
303:   50:64:A:x
304:   50:50:B:y
305:   50:1:C:y
306:   51:55:a:x
307:   51:20:b:x
308:   51:78:c:x
309:   51:58:A:x
310:   51:49:B:y
311:   51:60:C:y
312:   52:57:a:y
313:   52:99:b:y
314:   52:27:c:y
315:   52:15:A:x
316:   52:12:B:x
317:   52:58:C:y
318:   53:7:a:x
319:   53:14:b:y
320:   53:49:c:x
321:   53:47:A:y
322:   53:96:B:y
323:   53:55:C:y
324:   54:44:a:x
325:   54:50:b:y
326:   54:22:c:y
327:   54:71:A:x
328:   54:35:B:y
329:   54:31:C:y
330:   55:97:a:x
331:   55:49:b:x
332:   55:52:c:x
333:   55:24:A:y
334:   55:23:B:y
335:   55:50:C:x
336:   56:69:a:y
337:   56:42:b:x
338:   56:38:c:y
339:   56:50:A:x
340:   56:58:B:x
341:   56:5:C:x
342:   57:8:a:y
343:   57:53:b:x
344:   57:43:c:x
345:   57:62:A:y
346:   57:50:B:y
347:   57:44:C:x
348:   58:52:a:y
349:   58:26:b:y
350:   58:53:c:x
351:   58:12:A:y
352:   58:24:B:x
353:   58:37:C:y
354:   59:50:a:y
355:   59:51:b:y
356:   59:95:c:x
357:   59:62:A:x
358:   59:43:B:x
359:   59:51:C:y
360:   60:25:a:x
361:   60:46:b:y
362:   60:49:c:y
363:   60:41:A:y
364:   60:93:B:x
365:   60:66:C:x
366:   61:62:a:x
367:   61:27:b:x
368:   61:76:c:y
369:   61:55:A:y
370:   61:42:B:y
371:   61:10:C:y
372:   62:92:a:y
373:   62:97:b:y
374:   62:69:c:y
375:   62:47:A:y
376:   62:64:B:y
377:   62:41:C:y
378:   63:41:a:x
379:   63:15:b:x
380:   63:48:c:y
381:   63:70:A:x
382:   63:98:B:x
383:   63:4:C:x
384:   64:49:a:y
385:   64:51:b:y
386:   64:1:c:x
387:   64:39:A:x
388:   64:50:B:y
389:   64:57:C:y
390:   65:38:a:x
391:   65:22:b:x
392:   65:25:c:y
393:   65:97:A:x
394:   65:13:B:x
395:   65:29:C:x
396:   66:2:a:x
397:   66:49:b:y
398:   66:56:c:x
399:   66:51:A:x
400:   66:49:B:x
401:   66:49:C:x
