states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:27:a:x
1:     0:53:b:y
2:     0:7:c:y
3:     0:78:A:x
4:     0:99:B:x
5:     0:60:C:y
6:     1:38:a:x
7:     1:70:b:x
8:     1:57:c:x
9:     1:94:A:y
10:    1:5:B:x
11:    1:22:C:x
12:    2:41:a:x
13:    2:5:b:x
14:    2:52:c:x
15:    2:53:A:x
16:    2:73:B:y
17:    2:95:C:y
18:    3:63:a:x
19:    3:60:b:y
20:    3:56:c:y
21:    3:78:A:x
22:    3:94:B:x
23:    3:71:C:x
24:    4:65:a:y
25:    4:97:b:y
26:    4:49:c:x
27:    4:81:A:x
28:    4:66:B:y
29:    4:15:C:x
30:    5:1:a:y
31:    5:34:b:y
32:    5:45:c:y
33:    5:55:A:y
34:    5:15:B:y
35:    5:21:C:x
36:    6:14:a:x
37:    6:66:b:x
38:    6:86:c:y
39:    6:15:A:x
40:    6:29:B:x
41:    6:5:C:y
42:    7:93:a:y
43:    7:92:b:y
44:    7:67:c:y
45:    7:63:A:x
46:    7:12:B:y
47:    7:25:C:y
48:    8:7:a:y
49:    8:7:b:x
50:    8:30:c:y
51:    8:96:A:y
52:    8:91:B:y
53:    8:27:C:x
54:    9:51:a:y
55:    9:44:b:y
56:    9:87:c:y
57:    9:40:A:x
58:    9:30:B:x
59:    9:91:C:y
60:    10:96:a:x
61:    10:54:b:y
62:    10:11:c:y
63:    10:99:A:x
64:    10:46:B:y
65:    10:12:C:y
66:    11:58:a:x
67:    11:82:b:x
68:    11:86:c:y
69:    11:2:A:y
70:    11:23:B:x
71:    11:46:C:y
72:    12:43:a:y
73:    12:3:b:y
74:    12:94:c:y
75:    12:59:A:x
76:    12:28:B:x
77:    12:83:C:x
78:    13:45:a:y
79:    13:83:b:x
80:    13:50:c:x
81:    13:23:A:y
82:    13:29:B:x
83:    13:89:C:y
84:    14:37:a:x
85:    14:81:b:y
86:    14:26:c:y
87:    14:3:A:y
88:    14:18:B:y
