states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:38:B:x
1:     0:95:a:x
2:     0:87:c:x
3:     0:79:A:y
4:     0:64:b:y
5:     1:28:A:y
6:     1:88:B:y
7:     1:98:b:y
8:     1:97:C:y
9:     1:90:c:y
10:    2:54:A:x
11:    2:86:b:x
12:    2:8:a:x
13:    2:73:B:x
14:    2:21:C:x
15:    3:82:c:y
16:    3:56:C:x
17:    3:55:b:x
18:    3:29:a:x
19:    3:91:B:y
20:    4:49:A:x
21:    4:78:b:x
22:    4:49:c:x
23:    4:13:B:x
24:    4:14:C:y
25:    5:80:B:x
26:    5:65:b:y
27:    5:93:C:x
28:    5:88:a:y
29:    5:45:c:y
30:    6:49:c:y
31:    6:76:a:y
32:    6:88:A:y
33:    6:83:b:y
34:    6:67:C:y
35:    7:10:c:y
36:    7:13:C:x
37:    7:3:a:y
38:    7:71:b:y
39:    7:41:B:x
40:    8:39:b:x
41:    8:15:B:x
42:    8:21:c:y
43:    8:39:C:x
44:    8:7:a:y
45:    9:14:B:y
46:    9:87:a:y
47:    9:85:A:x
48:    9:34:C:y
49:    9:86:c:x
50:    10:81:C:x
51:    10:76:a:y
52:    10:44:B:y
53:    10:64:A:x
54:    10:47:b:x
55:    11:89:b:y
56:    11:6:A:x
57:    11:18:a:x
58:    11:85:c:x
59:    11:83:C:x
60:    12:89:A:y
61:    12:47:B:y
62:    12:41:a:y
63:    12:99:C:y
64:    12:38:b:x
65:    13:14:A:y
66:    13:85:B:y
67:    13:16:c:x
68:    13:70:a:y
69:    13:22:C:y
70:    14:28:a:y
71:    14:33:C:x
72:    14:24:A:y
73:    14:46:B:x
74:    14:57:b:y
75:    15:99:A:x
76:    15:75:b:x
77:    15:36:C:x
78:    15:55:c:y
79:    15:84:a:y
80:    16:1:b:y
81:    16:8:B:y
82:    16:56:c:y
83:    16:35:a:y
84:    16:68:C:y
85:    17:54:A:x
86:    17:18:B:x
87:    17:65:a:y
88:    17:99:c:y
