states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:14:C:x
1:     0:17:A:y
2:     0:62:b:y
3:     0:50:a:y
4:     0:11:c:y
5:     1:7:C:y
6:     1:13:A:x
7:     1:51:B:x
8:     1:92:b:x
9:     1:49:a:y
10:    2:19:a:x
11:    2:22:c:x
12:    2:42:C:x
13:    2:6:B:y
14:    2:8:b:x
15:    3:18:B:x
16:    3:45:a:y
17:    3:29:A:y
18:    3:97:b:x
19:    3:47:C:x
20:    4:37:c:y
21:    4:94:b:y
22:    4:85:A:y
23:    4:27:C:x
24:    4:70:a:x
25:    5:45:b:x
26:    5:87:c:y
27:    5:7:a:x
28:    5:1:B:x
29:    5:35:A:x
30:    6:18:b:x
31:    6:44:C:y
32:    6:61:c:x
33:    6:73:B:x
34:    6:24:a:y
35:    7:10:a:y
36:    7:52:b:x
37:    7:54:B:y
38:    7:43:A:x
39:    7:0:C:y
40:    8:76:c:y
41:    8:75:A:x
42:    8:39:B:y
43:    8:19:b:y
44:    8:68:a:y
45:    9:20:b:x
46:    9:59:c:x
47:    9:30:a:x
48:    9:96:C:y
49:    9:97:B:y
50:    10:96:a:y
51:    10:2:b:x
52:    10:30:B:y
53:    10:24:c:x
54:    10:42:A:x
55:    11:60:B:y
56:    11:26:c:x
57:    11:9:b:y
58:    11:39:a:x
59:    11:6:C:y
60:    12:36:A:y
61:    12:89:b:y
62:    12:56:c:x
63:    12:38:B:y
64:    12:38:C:x
65:    13:10:a:y
66:    13:40:c:x
67:    13:25:B:y
68:    13:83:b:y
69:    13:42:C:y
70:    14:86:a:x
71:    14:70:c:y
72:    14:48:C:y
73:    14:76:A:x
74:    14:89:b:y
75:    15:49:C:x
76:    15:21:A:x
77:    15:51:b:x
78:    15:59:a:y
79:    15:20:c:y
80:    16:99:B:y
81:    16:78:C:y
82:    16:52:b:x
83:    16:81:a:x
84:    16:64:A:x
85:    17:51:A:x
86:    17:22:a:x
87:    17:97:B:y
88:    17:39:b:y
89:    17:14:C:x
90:    18:33:C:x
91:    18:32:b:y
92:    18:65:A:x
93:    18:35:B:y
94:    18:95:a:x
95:    19:54:A:y
96:    19:24:c:y
97:    19:5:C:x
98:    19:9:a:y
99:    19:43:b:y
100:   20:40:C:x
101:   20:34:a:x
102:   20:61:b:y
103:   20:35:c:x
104:   20:0:A:x
105:   21:33:B:y
106:   21:59:C:x
107:   21:29:c:x
108:   21:53:A:x
109:   21:71:b:x
110:   22:80:c:y
111:   22:52:b:y
112:   22:12:A:y
113:   22:21:C:y
114:   22:93:B:y
115:   23:91:a:x
116:   23:84:b:x
117:   23:31:A:y
118:   23:73:c:x
119:   23:96:C:x
120:   24:4:a:y
121:   24:11:A:x
122:   24:41:B:y
123:   24:27:b:x
124:   24:76:c:y
125:   25:47:c:x
126:   25:0:b:x
127:   25:18:a:y
128:   25:61:B:x
129:   25:4:A:x
130:   26:55:b:x
131:   26:78:C:y
132:   26:12:B:y
133:   26:75:c:y
134:   26:25:A:x
135:   27:46:C:y
136:   27:41:c:x
137:   27:84:b:y
138:   27:86:B:x
139:   27:77:A:x
140:   28:46:a:y
141:   28:3:C:y
142:   28:14:A:x
143:   28:25:b:y
144:   28:46:c:x
145:   29:75:B:y
146:   29:53:A:y
147:   29:34:c:x
148:   29:36:a:y
149:   29:19:b:x
150:   30:6:c:x
151:   30:26:B:y
152:   30:10:a:x
153:   30:26:A:x
154:   30:41:C:x
155:   31:54:c:x
156:   31:66:a:x
157:   31:44:b:x
158:   31:91:C:x
159:   31:66:A:x
160:   32:27:b:x
161:   32:9:c:x
162:   32:84:B:x
163:   32:68:a:y
164:   32:31:C:y
165:   33:99:C:x
166:   33:70:a:y
167:   33:87:B:y
168:   33:94:b:y
169:   33:31:c:y
