states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:66:b:y
1:     0:83:C:x
2:     0:76:a:x
3:     0:96:A:y
4:     0:85:c:y
5:     1:28:C:y
6:     1:88:B:x
7:     1:85:b:x
8:     1:11:c:y
9:     1:33:a:y
10:    2:38:C:x
11:    2:67:b:x
12:    2:66:B:x
13:    2:50:c:y
14:    2:33:A:x
15:    3:93:a:x
16:    3:30:C:x
17:    3:44:B:y
18:    3:74:c:x
19:    3:49:A:y
20:    4:71:B:y
21:    4:57:C:x
22:    4:9:a:x
23:    4:43:c:x
24:    4:65:b:x
25:    5:91:A:y
26:    5:38:c:y
27:    5:46:b:y
28:    5:4:B:x
29:    5:25:a:y
30:    6:5:A:x
31:    6:51:a:y
32:    6:44:C:x
33:    6:71:b:x
34:    6:31:c:x
35:    7:46:c:y
36:    7:92:C:y
37:    7:57:b:x
38:    7:32:B:y
39:    7:79:a:y
40:    8:94:B:y
41:    8:34:a:y
42:    8:10:b:x
43:    8:29:A:x
44:    8:11:c:x
45:    9:3:C:x
46:    9:98:a:y
47:    9:31:A:x
48:    9:74:b:y
49:    9:1:c:y
50:    10:35:A:y
51:    10:58:c:x
52:    10:32:b:y
53:    10:59:B:y
54:    10:61:C:y
55:    11:95:B:y
56:    11:14:c:y
57:    11:2:b:x
58:    11:9:C:x
59:    11:93:A:y
60:    12:51:B:x
61:    12:11:A:x
62:    12:81:b:y
63:    12:40:a:x
64:    12:29:c:x
65:    13:42:B:y
66:    13:61:c:y
67:    13:4:b:x
68:    13:28:C:x
69:    13:90:A:y
70:    14:71:A:y
71:    14:45:C:y
72:    14:39:c:x
73:    14:8:b:x
74:    14:39:B:x
75:    15:5:a:y
76:    15:16:A:x
77:    15:75:b:x
78:    15:0:B:x
79:    15:72:c:x
80:    16:89:a:x
81:    16:39:A:x
82:    16:75:C:x
83:    16:2:c:y
84:    16:8:B:y
85:    17:98:b:y
86:    17:44:B:x
87:    17:78:a:y
88:    17:24:c:y
89:    17:21:C:x
90:    18:52:c:x
91:    18:58:A:y
92:    18:36:C:x
93:    18:53:B:y
94:    18:2:a:y
95:    19:74:a:y
96:    19:79:c:x
97:    19:5:C:x
98:    19:97:A:x
99:    19:77:B:y
100:   20:78:B:y
101:   20:37:C:y
102:   20:48:c:y
103:   20:61:A:x
104:   20:81:a:x
105:   21:80:a:x
106:   21:93:A:x
107:   21:65:b:y
108:   21:52:B:x
109:   21:87:c:y
110:   22:41:B:y
111:   22:95:c:x
112:   22:47:C:y
113:   22:65:A:y
114:   22:56:b:y
115:   23:69:b:x
116:   23:21:B:x
117:   23:10:c:x
118:   23:34:a:x
119:   23:66:A:x
120:   24:79:A:y
121:   24:67:c:y
122:   24:41:C:y
123:   24:88:b:y
124:   24:69:a:x
125:   25:99:a:x
126:   25:68:c:x
127:   25:99:A:y
128:   25:53:B:y
129:   25:48:C:x
130:   26:3:C:y
131:   26:29:A:x
132:   26:63:B:y
133:   26:84:b:x
134:   26:55:c:x
135:   27:19:c:y
136:   27:53:A:x
137:   27:45:a:y
138:   27:78:C:y
139:   27:16:B:x
140:   28:72:C:x
141:   28:82:B:x
142:   28:63:a:x
143:   28:92:b:x
144:   28:81:A:y
145:   29:72:A:x
146:   29:56:C:x
147:   29:1:b:x
148:   29:47:B:x
149:   29:52:c:y
150:   30:89:A:x
151:   30:77:a:x
152:   30:82:B:y
153:   30:60:b:x
154:   30:37:c:y
155:   31:70:a:x
156:   31:50:c:x
157:   31:13:B:y
158:   31:51:A:y
159:   31:70:b:x
160:   32:27:b:y
161:   32:67:c:x
162:   32:6:A:y
163:   32:20:B:x
164:   32:23:C:x
165:   33:42:C:x
166:   33:92:B:y
167:   33:46:b:y
168:   33:12:c:x
169:   33:9:A:y
170:   34:63:a:x
171:   34:0:b:x
172:   34:30:C:y
173:   34:59:c:y
174:   34:82:B:x
175:   35:80:c:y
176:   35:21:A:y
177:   35:45:C:x
178:   35:25:B:x
179:   35:88:a:y
180:   36:42:a:y
181:   36:68:c:x
182:   36:60:B:x
183:   36:75:A:y
184:   36:13:b:x
185:   37:57:B:x
186:   37:84:C:x
187:   37:97:b:x
188:   37:38:a:x
189:   37:32:A:y
190:   38:3:c:x
191:   38:94:B:y
192:   38:48:A:y
193:   38:90:C:x
194:   38:23:a:y
195:   39:10:C:x
196:   39:28:B:x
197:   39:96:c:x
198:   39:1:a:x
199:   39:4:b:y
200:   40:73:C:y
201:   40:73:b:x
202:   40:85:A:y
203:   40:34:B:x
204:   40:20:a:x
205:   41:13:b:x
206:   41:91:a:x
207:   41:0:c:y
208:   41:76:B:y
209:   41:58:A:x
210:   42:99:B:y
211:   42:35:a:x
212:   42:98:b:y
213:   42:95:c:y
214:   42:60:C:x
215:   43:80:C:y
216:   43:83:B:y
217:   43:25:A:x
218:   43:18:b:y
219:   43:7:a:x
220:   44:33:A:x
221:   44:89:c:y
222:   44:97:B:y
223:   44:14:C:x
224:   44:90:a:y
225:   45:22:b:y
226:   45:23:a:x
227:   45:77:A:x
228:   45:91:B:y
229:   45:64:C:y
230:   46:14:C:x
231:   46:76:A:x
232:   46:84:a:x
233:   46:43:B:x
234:   46:31:c:x
235:   47:43:b:y
236:   47:50:C:y
237:   47:22:a:x
238:   47:41:c:y
239:   47:26:B:y
240:   48:30:B:x
241:   48:7:A:y
242:   48:40:C:x
243:   48:19:c:x
244:   48:27:b:y
245:   49:96:c:y
246:   49:35:B:x
247:   49:8:a:x
248:   49:62:A:y
249:   49:68:b:y
250:   50:64:C:x
251:   50:16:c:y
252:   50:49:a:x
253:   50:36:B:y
254:   50:12:b:y
255:   51:87:C:x
256:   51:40:B:x
257:   51:54:c:y
258:   51:15:b:x
259:   51:54:a:x
260:   52:87:C:x
261:   52:62:B:x
262:   52:6:b:y
263:   52:6:a:y
264:   52:59:c:x
265:   53:49:B:y
266:   53:94:b:y
267:   53:26:a:x
268:   53:47:A:x
269:   53:20:c:y
270:   54:26:B:y
271:   54:27:c:x
272:   54:86:a:x
273:   54:70:C:x
274:   54:73:A:y
275:   55:7:A:y
276:   55:17:b:y
277:   55:83:B:x
278:   55:18:c:x
279:   55:37:C:y
280:   56:18:a:y
281:   56:55:b:x
282:   56:36:A:y
283:   56:19:B:y
284:   56:54:c:y
285:   57:15:B:x
286:   57:56:c:y
287:   57:17:C:y
288:   57:62:A:y
289:   57:22:a:x
290:   58:86:c:x
291:   58:15:b:y
292:   58:64:C:y
293:   58:69:A:y
294:   58:17:B:x
295:   59:12:c:y
296:   59:86:B:y
297:   59:55:b:x
298:   59:24:C:x
299:   59:24:a:x
300:   60:51:C:x
301:   60:64:B:x
302:   60:93:a:x
303:   60:11:c:y
304:   60:14:A:x
305:   61:87:A:y
306:   61:41:a:x
307:   61:81:b:y
308:   61:33:C:y
309:   61:96:c:y
310:   62:40:A:y
311:   62:41:c:x
312:   62:75:B:x
313:   62:10:C:y
314:   62:1:b:y
315:   63:6:A:x
316:   63:82:a:x
317:   63:59:b:y
318:   63:47:C:y
319:   63:14:B:y
320:   64:24:c:x
321:   64:62:a:x
322:   64:5:B:y
323:   64:75:C:x
324:   64:74:b:y
325:   65:44:c:x
326:   65:74:B:y
327:   65:32:b:y
328:   65:12:a:y
329:   65:35:C:y
330:   66:49:C:y
331:   66:74:a:x
332:   66:33:A:y
333:   66:87:b:y
334:   66:97:c:y
335:   67:89:B:y
336:   67:79:A:x
337:   67:98:b:y
338:   67:52:c:y
339:   67:59:a:y
340:   68:17:b:x
341:   68:61:C:x
342:   68:56:B:x
343:   68:64:c:x
344:   68:23:A:x
345:   69:27:c:y
346:   69:87:A:x
347:   69:37:a:x
348:   69:13:b:y
349:   69:70:B:x
350:   70:34:B:x
351:   70:24:b:y
352:   70:87:a:x
353:   70:28:A:x
354:   70:7:c:x
355:   71:52:C:y
356:   71:67:B:y
357:   71:91:a:y
358:   71:48:b:x
359:   71:74:A:x
360:   72:45:B:x
361:   72:79:b:x
362:   72:38:A:y
363:   72:79:C:x
364:   72:55:a:x
365:   73:10:C:x
366:   73:43:a:y
367:   73:40:A:y
368:   73:46:c:y
369:   73:81:b:x
370:   74:35:a:y
371:   74:66:C:x
372:   74:53:B:y
373:   74:58:A:y
374:   74:33:b:x
375:   75:64:B:y
376:   75:54:b:y
377:   75:25:A:x
378:   75:38:C:x
379:   75:33:a:y
380:   76:48:c:x
381:   76:97:b:y
382:   76:56:B:y
383:   76:31:C:x
384:   76:30:a:y
385:   77:45:b:x
386:   77:86:a:x
387:   77:59:C:y
388:   77:6:A:x
389:   77:97:c:y
390:   78:9:C:x
391:   78:95:A:y
392:   78:60:c:y
393:   78:75:B:y
394:   78:89:b:x
395:   79:89:C:x
396:   79:38:B:x
397:   79:90:A:y
398:   79:7:a:y
399:   79:71:b:x
400:   80:1:C:x
401:   80:71:a:y
402:   80:36:b:x
403:   80:7:B:y
404:   80:44:c:y
405:   81:28:c:y
406:   81:4:B:y
407:   81:53:b:y
408:   81:55:a:y
409:   81:80:C:y
410:   82:86:a:x
411:   82:57:B:x
412:   82:10:c:y
413:   82:54:b:x
414:   82:46:A:y
415:   83:53:b:y
416:   83:29:C:y
417:   83:3:c:y
418:   83:13:B:y
419:   83:72:A:x
420:   84:68:A:y
421:   84:98:b:x
422:   84:99:B:y
423:   84:55:a:y
424:   84:46:C:x
425:   85:73:a:x
426:   85:27:A:y
427:   85:39:c:x
428:   85:3:B:x
429:   85:39:C:y
430:   86:56:C:x
431:   86:64:a:y
432:   86:83:b:y
433:   86:83:c:y
434:   86:0:A:x
435:   87:10:b:x
436:   87:94:A:y
437:   87:63:C:y
438:   87:69:c:x
439:   87:18:a:x
440:   88:4:b:x
441:   88:30:A:y
442:   88:1:B:y
443:   88:15:c:x
444:   88:63:C:y
445:   89:57:b:y
446:   89:62:A:x
447:   89:24:c:y
448:   89:42:C:x
449:   89:26:B:x
450:   90:39:b:y
451:   90:42:B:y
452:   90:29:C:y
453:   90:52:a:x
454:   90:35:A:y
455:   91:12:A:x
456:   91:91:a:x
457:   91:99:b:x
458:   91:12:c:y
459:   91:37:B:x
460:   92:60:a:y
461:   92:87:b:y
462:   92:3:C:x
463:   92:60:B:x
464:   92:10:c:x
465:   93:5:c:y
466:   93:80:a:y
467:   93:84:C:x
468:   93:76:b:y
469:   93:94:A:y
470:   94:25:B:y
471:   94:8:b:x
472:   94:43:a:y
473:   94:82:C:y
474:   94:21:c:y
475:   95:61:c:x
476:   95:75:A:y
477:   95:43:C:y
478:   95:86:B:y
479:   95:10:b:y
480:   96:24:b:x
481:   96:89:A:x
482:   96:33:B:x
483:   96:53:c:y
484:   96:15:a:y
485:   97:83:C:y
486:   97:3:B:x
487:   97:75:c:x
488:   97:70:a:x
489:   97:21:b:x
490:   98:73:C:y
491:   98:17:A:y
492:   98:15:a:x
493:   98:46:b:x
494:   98:46:c:x
495:   99:71:c:y
496:   99:13:b:y
497:   99:59:a:y
498:   99:98:A:x
499:   99:64:C:x
