states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:39:b:y
1:     0:31:c:x
2:     0:45:a:x
3:     0:24:C:y
4:     0:71:B:y
5:     1:50:b:y
6:     1:74:C:y
7:     1:2:a:y
8:     1:30:A:x
9:     1:73:c:y
10:    2:75:a:x
11:    2:21:C:x
12:    2:19:c:y
13:    2:35:B:x
14:    2:33:b:x
15:    3:71:C:y
16:    3:92:c:y
17:    3:90:a:x
18:    3:2:B:x
19:    3:56:b:x
20:    4:33:B:y
21:    4:48:C:y
22:    4:25:b:x
23:    4:35:c:y
24:    4:81:a:y
25:    5:93:c:y
26:    5:75:a:x
27:    5:67:B:y
28:    5:13:b:y
29:    5:22:C:x
30:    6:21:B:y
31:    6:41:C:y
32:    6:37:c:y
33:    6:80:b:y
34:    6:52:a:x
35:    7:25:c:y
36:    7:99:B:x
37:    7:53:a:x
38:    7:90:C:x
39:    7:44:A:y
40:    8:53:a:x
41:    8:73:A:y
42:    8:99:b:x
43:    8:58:C:x
44:    8:62:c:x
45:    9:3:a:x
46:    9:29:B:y
47:    9:51:A:x
48:    9:15:c:x
49:    9:95:b:x
50:    10:20:c:x
51:    10:73:C:y
52:    10:96:A:y
53:    10:93:B:x
54:    10:15:a:x
55:    11:75:c:y
56:    11:28:b:y
57:    11:59:A:y
58:    11:64:B:x
59:    11:64:a:x
60:    12:21:C:x
61:    12:61:c:x
62:    12:55:B:x
63:    12:45:b:x
64:    12:60:a:y
65:    13:81:A:x
66:    13:68:B:x
67:    13:89:C:x
68:    13:3:a:y
69:    13:88:b:y
70:    14:89:a:x
71:    14:41:c:y
72:    14:61:C:y
73:    14:53:B:y
74:    14:67:b:x
75:    15:33:a:x
76:    15:32:C:x
77:    15:43:B:x
78:    15:7:c:x
79:    15:62:A:y
80:    16:63:a:y
81:    16:42:C:x
82:    16:9:c:x
83:    16:79:b:y
84:    16:19:B:y
85:    17:52:a:y
86:    17:41:B:x
87:    17:81:A:x
88:    17:97:C:y
89:    17:71:c:x
90:    18:28:A:x
91:    18:22:c:x
92:    18:97:B:y
93:    18:2:C:x
94:    18:65:a:x
95:    19:96:B:x
96:    19:5:b:y
97:    19:26:a:x
98:    19:1:A:y
99:    19:76:C:y
100:   20:26:a:y
101:   20:55:C:x
102:   20:91:A:y
103:   20:91:c:y
104:   20:61:b:x
105:   21:43:c:y
106:   21:97:a:x
107:   21:35:B:y
108:   21:43:A:x
109:   21:52:C:y
110:   22:72:A:y
111:   22:18:c:y
112:   22:69:b:y
113:   22:55:C:x
114:   22:45:a:x
115:   23:30:a:y
116:   23:83:C:y
117:   23:37:A:x
118:   23:91:c:y
119:   23:13:b:x
120:   24:25:C:x
121:   24:4:a:y
122:   24:82:A:x
123:   24:66:B:x
124:   24:8:b:y
125:   25:89:A:y
126:   25:22:c:y
127:   25:20:C:x
128:   25:3:a:x
129:   25:92:B:y
130:   26:39:b:x
131:   26:29:B:x
132:   26:29:a:x
133:   26:39:A:y
134:   26:1:C:x
135:   27:34:c:x
136:   27:36:A:y
137:   27:11:B:y
138:   27:90:C:y
139:   27:10:a:y
140:   28:50:c:y
141:   28:11:A:y
142:   28:40:a:y
143:   28:9:b:x
144:   28:83:B:x
145:   29:68:B:y
146:   29:72:b:y
147:   29:4:C:y
148:   29:74:a:x
149:   29:24:A:y
150:   30:58:C:y
151:   30:57:B:y
152:   30:69:a:y
153:   30:83:c:y
154:   30:92:A:x
155:   31:26:A:x
156:   31:1:B:y
157:   31:79:a:x
158:   31:40:c:y
159:   31:24:b:x
160:   32:0:B:x
161:   32:93:A:x
162:   32:19:b:y
163:   32:27:C:y
164:   32:0:c:y
165:   33:68:B:x
166:   33:99:C:y
167:   33:50:a:y
168:   33:84:A:y
169:   33:86:b:y
170:   34:59:b:y
171:   34:58:C:x
172:   34:87:B:x
173:   34:15:c:y
174:   34:76:A:y
175:   35:96:a:x
176:   35:63:b:x
177:   35:95:C:x
178:   35:69:c:y
179:   35:18:B:x
180:   36:48:c:y
181:   36:38:B:y
182:   36:56:a:x
183:   36:47:b:x
184:   36:67:C:x
185:   37:63:A:y
186:   37:47:c:x
187:   37:51:B:y
188:   37:27:C:y
189:   37:66:a:x
190:   38:86:C:x
191:   38:84:A:y
192:   38:44:b:x
193:   38:36:c:y
194:   38:23:B:x
195:   39:44:B:x
196:   39:78:a:y
197:   39:70:C:x
198:   39:60:A:x
199:   39:9:b:y
200:   40:5:b:x
201:   40:84:C:x
202:   40:51:c:x
203:   40:80:B:y
204:   40:7:a:x
205:   41:13:b:y
206:   41:98:C:x
207:   41:80:A:x
208:   41:14:a:y
209:   41:36:B:x
210:   42:76:A:y
211:   42:34:B:x
212:   42:5:C:y
213:   42:31:a:x
214:   42:74:b:x
215:   43:30:a:y
216:   43:31:B:y
217:   43:98:C:y
218:   43:38:A:y
219:   43:17:c:x
220:   44:60:A:x
221:   44:20:b:y
