states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:41:a:y
1:     0:81:c:y
2:     0:42:B:x
3:     0:88:C:y
4:     0:51:b:x
5:     1:16:a:y
6:     1:6:C:x
7:     1:43:c:y
8:     1:44:A:x
9:     1:50:B:y
10:    2:57:c:x
11:    2:12:A:x
12:    2:13:a:x
13:    2:51:b:x
14:    2:26:B:x
15:    3:86:C:y
16:    3:73:B:x
17:    3:72:c:y
18:    3:20:A:y
19:    3:22:a:x
20:    4:66:B:y
21:    4:90:c:y
22:    4:80:C:x
23:    4:0:b:y
24:    4:59:a:x
25:    5:75:A:y
26:    5:65:c:x
27:    5:93:B:y
28:    5:86:C:y
29:    5:87:a:x
30:    6:15:A:x
31:    6:43:c:y
32:    6:82:b:y
33:    6:15:B:x
34:    6:55:C:y
35:    7:27:b:x
36:    7:52:A:x
37:    7:26:B:y
38:    7:43:c:y
39:    7:80:a:x
40:    8:18:a:y
41:    8:92:C:y
42:    8:39:A:x
43:    8:71:B:y
44:    8:67:c:y
45:    9:36:c:y
46:    9:29:a:y
47:    9:68:B:y
48:    9:14:b:x
49:    9:29:C:x
50:    10:42:b:y
51:    10:76:C:y
52:    10:16:a:y
53:    10:59:B:x
54:    10:16:A:y
55:    11:68:A:y
56:    11:24:C:x
57:    11:32:a:x
58:    11:35:c:y
59:    11:19:B:y
60:    12:6:c:y
61:    12:49:A:x
62:    12:67:b:y
63:    12:40:a:y
64:    12:20:C:y
65:    13:56:b:y
66:    13:58:c:y
67:    13:88:A:x
68:    13:89:B:y
69:    13:33:a:y
70:    14:67:A:x
71:    14:8:B:x
72:    14:80:c:x
73:    14:66:b:x
74:    14:83:a:x
75:    15:91:b:y
76:    15:64:A:x
77:    15:52:c:y
78:    15:76:C:x
79:    15:30:B:y
80:    16:28:A:x
81:    16:26:C:y
82:    16:49:c:x
83:    16:49:B:y
84:    16:12:b:x
85:    17:78:A:x
86:    17:34:C:y
87:    17:19:a:x
88:    17:2:B:x
89:    17:64:b:y
90:    18:10:A:y
91:    18:25:c:y
92:    18:0:C:y
93:    18:32:b:y
94:    18:58:a:y
95:    19:2:c:y
96:    19:60:B:x
97:    19:88:b:x
98:    19:53:A:x
99:    19:58:C:y
100:   20:60:b:y
101:   20:14:B:x
102:   20:96:a:y
103:   20:59:A:x
104:   20:0:c:y
105:   21:94:A:y
106:   21:46:c:x
107:   21:14:a:x
108:   21:93:C:y
109:   21:61:B:x
110:   22:18:b:x
111:   22:75:C:y
112:   22:89:A:x
113:   22:3:c:x
114:   22:81:a:x
115:   23:81:B:y
116:   23:79:A:x
117:   23:18:C:x
118:   23:40:b:y
119:   23:72:c:y
120:   24:27:b:y
121:   24:64:B:x
122:   24:82:C:x
123:   24:86:A:y
124:   24:4:a:x
125:   25:42:A:y
126:   25:3:B:x
127:   25:96:c:y
128:   25:60:b:x
129:   25:82:C:y
130:   26:27:b:y
131:   26:20:B:x
132:   26:22:A:y
133:   26:94:a:y
134:   26:78:c:x
135:   27:39:A:x
136:   27:34:b:x
137:   27:5:a:y
138:   27:32:B:x
139:   27:37:c:x
140:   28:89:A:y
141:   28:13:c:y
142:   28:53:b:y
143:   28:50:B:x
144:   28:94:a:x
145:   29:35:b:y
146:   29:38:B:x
147:   29:35:C:x
148:   29:78:a:x
149:   29:90:A:y
150:   30:21:B:x
151:   30:57:c:x
152:   30:40:C:y
153:   30:51:A:y
154:   30:79:b:y
155:   31:99:b:y
156:   31:2:a:x
157:   31:4:c:x
158:   31:24:A:x
159:   31:3:C:y
160:   32:41:A:x
161:   32:44:a:x
162:   32:69:b:x
163:   32:68:C:y
164:   32:44:c:y
165:   33:57:a:x
166:   33:15:C:x
167:   33:7:B:y
168:   33:83:b:x
169:   33:63:A:y
170:   34:46:A:x
171:   34:90:C:x
172:   34:19:b:y
173:   34:33:a:x
174:   34:61:B:y
175:   35:97:C:y
176:   35:33:a:x
177:   35:38:A:x
178:   35:12:c:x
179:   35:84:B:x
180:   36:74:B:y
181:   36:13:a:y
182:   36:98:C:y
183:   36:63:c:x
184:   36:98:b:y
185:   37:4:C:y
186:   37:87:b:y
187:   37:65:A:y
188:   37:1:B:x
189:   37:76:a:x
190:   38:63:c:x
191:   38:85:b:y
192:   38:36:C:x
193:   38:83:a:x
194:   38:46:A:y
195:   39:41:a:y
196:   39:6:C:y
197:   39:11:b:x
198:   39:95:A:x
199:   39:95:c:x
200:   40:70:a:x
201:   40:50:C:y
202:   40:25:c:y
203:   40:96:B:x
204:   40:85:b:y
205:   41:95:A:y
206:   41:55:C:x
207:   41:79:c:y
208:   41:39:a:x
209:   41:34:b:y
210:   42:1:C:y
211:   42:87:a:x
212:   42:37:A:x
213:   42:56:c:y
214:   42:25:B:y
215:   43:71:A:y
216:   43:48:C:y
217:   43:36:B:y
218:   43:75:c:y
219:   43:38:a:y
220:   44:77:a:y
221:   44:48:b:y
222:   44:52:C:x
223:   44:24:A:x
224:   44:8:B:x
225:   45:7:c:x
226:   45:21:b:y
227:   45:72:C:x
228:   45:29:A:x
229:   45:21:B:x
230:   46:84:a:x
231:   46:8:c:x
232:   46:70:C:y
233:   46:71:A:y
234:   46:77:b:x
235:   47:37:B:x
236:   47:30:C:y
237:   47:70:a:y
238:   47:98:b:y
239:   47:48:A:y
240:   48:45:C:x
241:   48:23:B:x
242:   48:77:b:y
243:   48:9:a:x
244:   48:9:A:y
245:   49:45:A:y
246:   49:84:b:y
247:   49:91:c:x
248:   49:85:B:x
249:   49:92:C:x
250:   50:55:b:x
251:   50:65:B:y
252:   50:91:C:y
253:   50:31:c:y
254:   50:66:A:x
255:   51:30:c:y
256:   51:45:C:x
257:   51:97:b:x
258:   51:28:a:y
259:   51:31:B:x
260:   52:47:a:x
261:   52:31:C:y
262:   52:69:b:x
263:   52:1:c:x
264:   52:69:A:y
265:   53:5:b:y
266:   53:92:B:y
267:   53:74:c:x
268:   53:28:C:x
269:   53:73:a:y
270:   54:97:C:y
271:   54:5:b:y
272:   54:61:c:y
273:   54:17:a:x
274:   54:9:A:y
275:   55:73:b:y
276:   55:23:B:y
277:   55:54:C:y
278:   55:56:a:x
279:   55:47:c:y
280:   56:93:A:y
281:   56:7:b:y
282:   56:23:B:x
283:   56:54:C:y
284:   56:62:c:y
285:   57:54:B:y
286:   57:53:c:x
287:   57:17:A:x
288:   57:47:b:x
289:   57:11:C:x
290:   58:99:c:x
291:   58:10:a:x
292:   58:10:B:y
293:   58:11:b:x
294:   58:17:A:x
295:   59:99:a:y
296:   59:62:B:y
297:   59:62:c:x
298:   59:22:C:x
299:   59:74:b:y
300:   60:81:a:y
301:   60:43:b:y
302:   60:21:C:x
303:   60:26:c:y
304:   60:3:A:y
305:   61:35:a:x
306:   61:32:b:y
307:   61:8:c:y
308:   61:73:A:x
309:   61:28:B:x
310:   62:42:A:x
311:   62:99:C:y
312:   62:26:a:x
313:   62:79:c:y
314:   62:63:b:y
315:   63:3:b:y
316:   63:93:a:x
317:   63:50:c:y
318:   63:52:C:y
319:   63:39:B:x
320:   64:90:B:y
321:   64:15:C:x
322:   64:86:c:x
323:   64:99:b:y
