states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:58:C:x
1:     0:82:B:y
2:     0:26:a:y
3:     0:92:b:x
4:     0:37:A:x
5:     1:39:b:y
6:     1:14:B:y
7:     1:26:a:y
8:     1:91:c:x
9:     1:74:A:x
10:    2:8:c:x
11:    2:61:C:y
12:    2:1:B:x
13:    2:44:A:x
14:    2:17:a:y
15:    3:14:B:y
16:    3:4:b:y
17:    3:44:a:x
18:    3:15:C:x
19:    3:66:c:y
20:    4:95:B:x
21:    4:92:A:y
22:    4:12:b:y
23:    4:20:a:y
24:    4:1:c:y
25:    5:6:A:y
26:    5:12:b:y
27:    5:72:B:x
28:    5:70:c:x
29:    5:0:a:y
30:    6:8:A:y
31:    6:84:B:x
32:    6:11:c:x
33:    6:42:a:y
34:    6:22:C:y
35:    7:2:C:x
36:    7:24:A:y
37:    7:74:c:y
38:    7:60:b:x
39:    7:16:a:y
40:    8:35:B:x
41:    8:45:a:x
42:    8:49:C:x
43:    8:19:b:y
44:    8:59:c:x
45:    9:62:b:x
46:    9:2:a:x
47:    9:95:c:y
48:    9:89:B:y
49:    9:78:C:x
50:    10:67:b:x
51:    10:77:A:x
52:    10:74:B:x
53:    10:39:C:y
54:    10:59:c:x
55:    11:99:C:y
56:    11:85:c:y
57:    11:78:A:x
58:    11:60:b:y
59:    11:66:B:y
60:    12:37:b:x
61:    12:37:C:x
62:    12:62:a:x
63:    12:94:A:x
64:    12:64:c:y
65:    13:25:A:y
66:    13:88:b:x
67:    13:63:a:x
68:    13:97:B:x
69:    13:98:C:y
70:    14:19:a:x
71:    14:63:c:y
72:    14:73:b:y
73:    14:50:B:y
74:    14:44:A:x
75:    15:38:C:x
76:    15:16:B:x
77:    15:50:a:x
78:    15:46:c:x
79:    15:46:b:y
80:    16:43:c:x
81:    16:23:A:y
82:    16:49:C:x
83:    16:22:B:y
84:    16:35:b:x
85:    17:97:c:x
86:    17:42:B:y
87:    17:92:C:x
88:    17:23:A:x
89:    17:32:b:y
90:    18:38:b:x
91:    18:84:B:x
92:    18:84:A:y
93:    18:45:a:x
94:    18:50:c:y
95:    19:27:a:y
96:    19:20:A:y
97:    19:30:B:y
98:    19:66:c:x
99:    19:32:b:y
100:   20:53:a:y
101:   20:69:C:y
102:   20:35:c:x
103:   20:28:A:x
104:   20:9:B:x
105:   21:62:A:y
106:   21:93:b:y
107:   21:24:B:x
108:   21:67:c:y
109:   21:48:C:y
110:   22:49:c:x
111:   22:41:b:y
112:   22:54:C:x
113:   22:72:A:y
114:   22:71:a:x
115:   23:36:C:x
116:   23:99:c:x
117:   23:4:a:y
118:   23:98:A:y
119:   23:98:b:y
120:   24:79:a:x
121:   24:52:b:y
122:   24:36:A:x
123:   24:86:C:y
124:   24:83:c:y
125:   25:41:B:y
126:   25:58:b:y
127:   25:16:a:y
128:   25:58:A:x
129:   25:3:c:y
130:   26:52:b:y
131:   26:27:C:y
132:   26:95:a:y
133:   26:12:c:x
134:   26:77:B:x
135:   27:68:c:y
136:   27:22:A:x
137:   27:94:a:x
138:   27:32:B:y
139:   27:8:C:x
140:   28:65:B:x
141:   28:46:a:y
142:   28:17:c:y
143:   28:30:A:x
144:   28:78:b:y
145:   29:30:c:y
146:   29:10:C:x
147:   29:75:B:y
148:   29:91:A:x
149:   29:63:a:y
150:   30:82:C:x
151:   30:38:a:y
152:   30:85:b:x
153:   30:18:A:x
154:   30:99:c:x
155:   31:82:b:y
156:   31:27:a:y
157:   31:19:A:x
158:   31:23:B:y
159:   31:71:C:y
160:   32:93:A:x
161:   32:96:c:y
162:   32:81:B:y
163:   32:90:C:y
164:   32:59:b:y
165:   33:21:a:x
166:   33:80:A:x
167:   33:55:c:y
168:   33:55:C:x
169:   33:60:B:x
170:   34:20:A:y
171:   34:17:c:y
172:   34:31:B:y
173:   34:69:C:y
174:   34:71:b:x
175:   35:75:c:x
176:   35:9:B:y
177:   35:91:A:x
178:   35:52:C:x
179:   35:9:a:x
180:   36:10:B:x
181:   36:14:a:y
182:   36:5:b:x
183:   36:26:A:x
184:   36:80:c:x
185:   37:36:a:y
186:   37:57:B:y
187:   37:80:C:x
188:   37:2:A:x
189:   37:1:c:x
190:   38:61:c:y
191:   38:76:A:x
192:   38:61:b:y
193:   38:6:C:x
194:   38:10:a:x
195:   39:48:A:x
196:   39:3:B:x
197:   39:54:c:x
198:   39:34:b:y
199:   39:97:C:y
200:   40:86:a:x
201:   40:13:A:x
202:   40:45:b:y
203:   40:47:c:y
204:   40:31:B:x
205:   41:75:b:y
