states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:69:c:y
1:     0:62:a:y
2:     0:20:B:x
3:     0:69:b:y
4:     0:10:A:y
5:     1:93:C:x
6:     1:42:b:x
7:     1:88:A:x
8:     1:80:a:x
9:     1:77:c:x
10:    2:96:c:x
11:    2:31:b:y
12:    2:95:B:x
13:    2:78:a:x
14:    2:82:A:x
15:    3:5:c:y
16:    3:8:C:y
17:    3:73:A:x
18:    3:58:a:y
19:    3:31:B:y
20:    4:76:B:y
21:    4:76:c:y
22:    4:79:C:y
23:    4:49:a:y
24:    4:40:A:y
25:    5:81:c:x
26:    5:88:C:x
27:    5:63:A:y
28:    5:19:a:x
29:    5:16:b:x
30:    6:67:C:x
31:    6:81:a:y
32:    6:38:B:x
33:    6:90:c:y
34:    6:4:A:x
35:    7:34:C:y
36:    7:85:b:y
37:    7:94:c:y
38:    7:45:B:y
39:    7:16:a:y
40:    8:32:A:x
41:    8:98:B:y
42:    8:33:c:y
43:    8:48:C:y
44:    8:79:b:x
45:    9:20:b:x
46:    9:97:c:y
47:    9:48:a:x
48:    9:82:A:y
49:    9:59:C:y
50:    10:78:A:y
51:    10:69:a:y
52:    10:51:c:x
53:    10:57:B:x
54:    10:65:C:x
55:    11:74:b:x
56:    11:53:A:y
57:    11:35:a:y
58:    11:36:C:y
59:    11:0:B:x
60:    12:75:c:x
61:    12:9:A:y
62:    12:48:b:y
63:    12:22:B:y
64:    12:54:a:x
65:    13:78:C:y
66:    13:11:c:y
67:    13:52:A:y
68:    13:2:B:y
69:    13:64:a:y
70:    14:49:a:x
71:    14:16:C:y
72:    14:43:B:x
73:    14:25:b:x
74:    14:41:c:x
75:    15:27:a:y
76:    15:32:A:x
77:    15:52:b:x
78:    15:43:c:y
79:    15:52:C:y
80:    16:87:C:x
81:    16:66:c:y
82:    16:24:B:y
83:    16:9:A:x
84:    16:40:a:y
85:    17:49:C:y
86:    17:94:c:y
87:    17:86:a:y
88:    17:76:A:y
89:    17:37:B:y
90:    18:59:b:y
91:    18:72:c:x
92:    18:8:C:x
93:    18:17:A:y
94:    18:42:B:x
95:    19:6:B:x
96:    19:24:a:y
97:    19:73:C:y
98:    19:5:A:y
99:    19:90:b:y
100:   20:85:C:x
101:   20:28:c:y
102:   20:51:A:x
103:   20:46:a:y
104:   20:17:b:x
105:   21:35:A:x
106:   21:71:a:y
107:   21:93:b:y
